Waf: Entering directory `/Users/sangheon/Desktop/ns-3-dev/build'
[1934/1986] Compiling scratch/dumbbell.cc
[1948/1986] Linking build/scratch/dumbbell
Waf: Leaving directory `/Users/sangheon/Desktop/ns-3-dev/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.889s)
flow0  1.1s: 	237.327 Mbit/s
flow1  1.1s: 	240.56 Mbit/s
flow2  1.1s: 	240.739 Mbit/s
flow3  1.1s: 	234.287 Mbit/s
flow0  1.2s: 	22.7264 Mbit/s
flow1  1.2s: 	22.7693 Mbit/s
flow2  1.2s: 	22.7264 Mbit/s
flow3  1.2s: 	22.6406 Mbit/s
flow0  1.3s: 	22.7693 Mbit/s
flow1  1.3s: 	22.6406 Mbit/s
flow2  1.3s: 	22.6406 Mbit/s
flow3  1.3s: 	22.7693 Mbit/s
flow0  1.4s: 	22.6406 Mbit/s
flow1  1.4s: 	22.7264 Mbit/s
flow2  1.4s: 	22.7693 Mbit/s
flow3  1.4s: 	22.7264 Mbit/s
flow0  1.5s: 	22.7693 Mbit/s
flow1  1.5s: 	22.6835 Mbit/s
flow2  1.5s: 	22.7693 Mbit/s
flow3  1.5s: 	22.6406 Mbit/s
flow0  1.6s: 	22.6835 Mbit/s
flow1  1.6s: 	22.7264 Mbit/s
flow2  1.6s: 	22.6406 Mbit/s
flow3  1.6s: 	22.7693 Mbit/s
flow0  1.7s: 	22.6835 Mbit/s
flow1  1.7s: 	22.7693 Mbit/s
flow2  1.7s: 	22.7264 Mbit/s
flow3  1.7s: 	22.6835 Mbit/s
flow0  1.8s: 	22.7693 Mbit/s
flow1  1.8s: 	22.6406 Mbit/s
flow2  1.8s: 	22.7264 Mbit/s
flow3  1.8s: 	22.7264 Mbit/s
flow0  1.9s: 	22.6835 Mbit/s
flow1  1.9s: 	22.7264 Mbit/s
flow2  1.9s: 	22.6835 Mbit/s
flow3  1.9s: 	22.7264 Mbit/s
flow0  2s: 	22.7264 Mbit/s
flow1  2s: 	22.7264 Mbit/s
flow2  2s: 	22.7693 Mbit/s
flow3  2s: 	22.6406 Mbit/s
flow0  2.1s: 	22.7264 Mbit/s
flow1  2.1s: 	22.6835 Mbit/s
flow2  2.1s: 	22.6406 Mbit/s
flow3  2.1s: 	22.7693 Mbit/s
flow0  2.2s: 	22.6406 Mbit/s
flow1  2.2s: 	22.7693 Mbit/s
flow2  2.2s: 	22.7264 Mbit/s
flow3  2.2s: 	22.7264 Mbit/s
flow0  2.3s: 	22.7693 Mbit/s
flow1  2.3s: 	22.6406 Mbit/s
flow2  2.3s: 	22.7693 Mbit/s
flow3  2.3s: 	22.6835 Mbit/s
flow0  2.4s: 	22.7264 Mbit/s
flow1  2.4s: 	22.7264 Mbit/s
flow2  2.4s: 	22.6406 Mbit/s
flow3  2.4s: 	22.7264 Mbit/s
flow0  2.5s: 	22.6835 Mbit/s
flow1  2.5s: 	22.7693 Mbit/s
flow2  2.5s: 	22.7693 Mbit/s
flow3  2.5s: 	22.6406 Mbit/s
flow0  2.6s: 	22.7264 Mbit/s
flow1  2.6s: 	22.6406 Mbit/s
flow2  2.6s: 	22.7264 Mbit/s
flow3  2.6s: 	22.7693 Mbit/s
flow0  2.7s: 	22.6406 Mbit/s
flow1  2.7s: 	22.7693 Mbit/s
flow2  2.7s: 	22.6406 Mbit/s
flow3  2.7s: 	22.7693 Mbit/s
flow0  2.8s: 	22.7693 Mbit/s
flow1  2.8s: 	22.6835 Mbit/s
flow2  2.8s: 	22.7693 Mbit/s
flow3  2.8s: 	22.6406 Mbit/s
flow0  2.9s: 	22.7264 Mbit/s
flow1  2.9s: 	22.6835 Mbit/s
flow2  2.9s: 	22.7264 Mbit/s
flow3  2.9s: 	22.7264 Mbit/s
flow0  3s: 	22.6406 Mbit/s
flow1  3s: 	22.7693 Mbit/s
flow2  3s: 	22.6835 Mbit/s
flow3  3s: 	22.7264 Mbit/s
flow0  3.1s: 	22.7693 Mbit/s
flow1  3.1s: 	22.6835 Mbit/s
flow2  3.1s: 	22.7264 Mbit/s
flow3  3.1s: 	22.6835 Mbit/s
flow0  3.2s: 	22.7264 Mbit/s
flow1  3.2s: 	22.7264 Mbit/s
flow2  3.2s: 	22.6406 Mbit/s
flow3  3.2s: 	22.7693 Mbit/s
flow0  3.3s: 	22.6835 Mbit/s
flow1  3.3s: 	22.7264 Mbit/s
flow2  3.3s: 	22.7693 Mbit/s
flow3  3.3s: 	22.6406 Mbit/s
flow0  3.4s: 	22.7264 Mbit/s
flow1  3.4s: 	22.6835 Mbit/s
flow2  3.4s: 	22.7264 Mbit/s
flow3  3.4s: 	22.7264 Mbit/s
flow0  3.5s: 	22.6835 Mbit/s
flow1  3.5s: 	22.7264 Mbit/s
flow2  3.5s: 	22.6406 Mbit/s
flow3  3.5s: 	22.7693 Mbit/s
flow0  3.6s: 	22.7264 Mbit/s
flow1  3.6s: 	22.7264 Mbit/s
flow2  3.6s: 	22.7693 Mbit/s
flow3  3.6s: 	22.6406 Mbit/s
flow0  3.7s: 	22.7693 Mbit/s
flow1  3.7s: 	22.6406 Mbit/s
flow2  3.7s: 	22.6835 Mbit/s
flow3  3.7s: 	22.7693 Mbit/s
flow0  3.8s: 	22.6406 Mbit/s
flow1  3.8s: 	22.7693 Mbit/s
flow2  3.8s: 	22.7264 Mbit/s
flow3  3.8s: 	22.6835 Mbit/s
flow0  3.9s: 	22.7264 Mbit/s
flow1  3.9s: 	22.7264 Mbit/s
flow2  3.9s: 	22.7264 Mbit/s
flow3  3.9s: 	22.6835 Mbit/s
flow0  4s: 	22.7693 Mbit/s
flow1  4s: 	22.6835 Mbit/s
flow2  4s: 	22.6406 Mbit/s
flow3  4s: 	22.7693 Mbit/s
flow0  4.1s: 	22.6406 Mbit/s
flow1  4.1s: 	22.7264 Mbit/s
flow2  4.1s: 	22.7693 Mbit/s
flow3  4.1s: 	22.6835 Mbit/s
flow0  4.2s: 	22.7693 Mbit/s
flow1  4.2s: 	22.6406 Mbit/s
flow2  4.2s: 	22.7693 Mbit/s
flow3  4.2s: 	22.6835 Mbit/s
flow0  4.3s: 	22.6835 Mbit/s
flow1  4.3s: 	22.7693 Mbit/s
flow2  4.3s: 	22.6406 Mbit/s
flow3  4.3s: 	22.7693 Mbit/s
flow0  4.4s: 	22.6835 Mbit/s
flow1  4.4s: 	22.7693 Mbit/s
flow2  4.4s: 	22.7264 Mbit/s
flow3  4.4s: 	22.6406 Mbit/s
flow0  4.5s: 	22.7693 Mbit/s
flow1  4.5s: 	22.6406 Mbit/s
flow2  4.5s: 	22.6835 Mbit/s
flow3  4.5s: 	22.7693 Mbit/s
flow0  4.6s: 	22.6835 Mbit/s
flow1  4.6s: 	22.7264 Mbit/s
flow2  4.6s: 	22.7264 Mbit/s
flow3  4.6s: 	22.7264 Mbit/s
flow0  4.7s: 	22.7264 Mbit/s
flow1  4.7s: 	22.6835 Mbit/s
flow2  4.7s: 	22.7693 Mbit/s
